[GIN] 2026/08/22 - 16:45:46 | 200 |      6.9159ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:46 | 200 |      7.5018ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:47 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:46:15 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:46:15 | 200 |       1.583ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:46:17 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:46:45 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:46:45 | 200 |      2.1008ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:46:47 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:47:15 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:47:15 | 200 |      1.5722ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:47:17 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:47:45 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:47:45 | 200 |      2.1866ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:47:47 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:48:16 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:48:16 | 200 |      1.6057ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:48:17 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:48:46 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:48:46 | 200 |      1.0779ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:48:47 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:49:16 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:49:16 | 200 |       2.334ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:49:17 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:49:46 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:49:46 | 200 |      2.1164ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:49:47 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:50:16 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:50:16 | 200 |      1.5734ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:50:17 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:50:46 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:50:46 | 200 |      1.8302ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:50:47 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:51:16 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:51:16 | 200 |      2.1278ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:51:17 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:51:46 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:51:46 | 200 |      1.6668ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:51:47 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:52:16 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:52:16 | 200 |      1.5837ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:52:17 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:52:46 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:52:46 | 200 |      2.0904ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:52:47 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:53:16 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:53:16 | 200 |       1.618ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:53:17 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:53:46 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:53:46 | 200 |      1.5754ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:53:47 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:54:16 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:54:16 | 200 |      1.5908ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:54:17 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:54:46 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:54:46 | 200 |      2.1038ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:54:47 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:55:16 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:55:16 | 200 |      1.7921ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:55:17 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:55:46 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:55:46 | 200 |      1.5669ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:55:47 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:56:16 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:56:16 | 200 |      1.5679ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:56:17 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:56:46 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:56:46 | 200 |      1.5724ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:56:47 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
